source,target,time
61,25,20733
20,35,20821
47,21,20826
61,43,20868
55,12,20943
55,56,20943
47,15,20944
24,15,20946
55,8,21055
55,9,21055
55,3,21055
24,47,21071
35,20,21079
56,19,21110
25,3,21120
12,19,21158
55,18,21165
55,11,21166
55,27,21166
43,8,21175
35,19,21193
24,21,21195
47,24,21197
19,27,21242
8,19,21246
55,14,21280
55,22,21280
55,40,21280
55,5,21287
55,7,21287
55,43,21287
7,19,21294
43,25,21297
2,19,21301
35,11,21302
14,9,21316
19,22,21354
40,35,21367
8,11,21374
8,25,21374
23,35,21395
55,4,21408
43,23,21412
13,15,21413
13,21,21413
2,1,21420
13,9,21420
2,5,21420
14,13,21430
15,13,21445
9,14,21448
45,7,21450
9,27,21452
56,21,21458
56,9,21458
25,61,21459
61,8,21462
19,21,21465
19,2,21465
8,17,21483
27,24,21483
27,15,21483
27,21,21483
10,43,21493
23,45,21504
23,22,21504
55,46,21519
43,17,21526
43,22,21526
43,10,21526
13,1,21529
7,17,21536
3,16,21540
2,12,21540
3,11,21540
2,8,21540
14,1,21544
35,22,21552
35,23,21558
47,14,21559
47,13,21559
16,22,21561
35,10,21564
9,15,21564
9,21,21564
25,11,21568
45,22,21570
15,9,21572
1,2,21574
1,5,21574
1,8,21578
1,3,21578
11,3,21578
19,11,21579
11,22,21582
11,19,21582
56,8,21583
40,22,21592
24,14,21593
27,12,21595
22,11,21599
22,43,21601
22,23,21601
22,25,21601
8,22,21603
8,10,21603
8,48,21603
10,16,21613
10,8,21613
10,7,21613
10,23,21613
23,11,21624
23,43,21624
23,20,21624
12,13,21627
12,21,21627
12,9,21627
12,15,21627
12,56,21627
12,1,21627
43,61,21638
43,16,21638
7,22,21645
7,10,21645
7,40,21645
13,56,21649
13,12,21649
13,5,21649
14,3,21656
14,24,21656
14,5,21656
14,8,21656
14,25,21656
3,14,21660
3,5,21660
3,47,21660
3,1,21660
3,21,21660
3,8,21664
3,24,21664
3,9,21664
2,15,21666
2,27,21666
2,25,21666
2,56,21666
3,22,21667
3,12,21667
3,2,21667
3,25,21667
3,13,21670
47,9,21673
3,47,21674
3,9,21674
16,11,21676
16,61,21676
9,24,21678
9,1,21678
9,47,21678
35,40,21681
15,1,21687
15,8,21687
1,12,21687
15,25,21687
1,4,21687
15,56,21687
15,19,21687
19,23,21688
19,5,21688
19,56,21688
19,24,21688
15,47,21689
15,11,21689
15,2,21689
15,14,21689
15,5,21689
19,15,21691
19,14,21691
56,2,21694
56,11,21694
11,45,21694
11,40,21694
11,16,21694
56,5,21694
56,3,21694
25,23,21695
25,22,21695
25,2,21695
61,17,21697
61,19,21697
40,23,21701
40,10,21701
45,2,21702
5,15,21703
5,2,21703
5,21,21703
5,11,21703
5,25,21703
5,24,21703
27,8,21705
27,47,21705
5,22,21707
5,47,21707
5,13,21707
5,14,21707
5,16,21707
5,12,21707
20,23,21711
24,9,21712
8,14,21713
8,1,21713
8,12,21713
8,2,21713
22,35,21713
22,45,21713
8,9,21713
8,15,21713
22,40,21717
22,7,21717
22,19,21717
22,16,21717
22,17,21717
22,18,21720
22,10,21720
22,61,21720
48,22,21723
10,22,21727
10,25,21727
